index,name,r,g,b
0,,0,0,0
1,,115,16,0
2,,181,24,0
3,,189,97,82
4,,66,24,16
5,,255,170,156
6,,90,16,0
7,,115,56,41
8,,165,73,49
9,,148,121,115
10,,189,81,49
11,,82,32,16
12,,123,48,24
13,,41,24,16
14,,140,73,49
15,,148,40,0
16,,189,48,0
17,,198,113,82
18,,107,48,24
19,,198,105,66
20,,206,73,0
21,,165,97,57
22,,90,48,24
23,,41,16,0
24,,16,8,0
25,,57,24,0
26,,8,0,0
27,,41,0,0
28,,74,0,0
29,,156,0,0
30,,220,0,0
31,,132,0,132
32,,255,0,0
33,,156,113,82
34,,148,105,74
35,,115,73,41
36,,82,48,24
37,,140,73,24
38,,140,69,16
39,,74,32,0
40,,33,24,16
41,,214,150,90
42,,198,105,33
43,,239,105,0
44,,255,117,0
45,,165,150,132
46,,66,48,33
47,,24,16,8
48,,41,24,8
49,,33,16,0
50,,57,40,24
51,,140,97,57
52,,66,40,16
53,,107,65,24
54,,123,73,24
55,,148,73,0
56,,140,134,123
57,,107,97,90
58,,74,65,57
59,,41,32,24
60,,66,56,41
61,,181,166,148
62,,123,105,90
63,,206,178,148
64,,165,142,115
65,,140,113,90
66,,181,150,115
67,,214,166,115
68,,239,166,74
69,,239,199,140
70,,123,97,66
71,,107,85,57
72,,189,150,90
73,,99,56,0
74,,214,199,173
75,,82,65,41
76,,148,97,24
77,,239,215,173
78,,165,142,99
79,,99,89,74
80,,189,166,123
81,,90,65,24
82,,189,142,49
83,,49,48,41
84,,148,134,99
85,,123,105,74
86,,165,142,90
87,,90,73,41
88,,156,121,57
89,,66,48,16
90,,239,174,33
91,,24,16,0
92,,41,32,0
93,,156,105,0
94,,148,134,90
95,,82,65,24
96,,107,89,41
97,,123,97,33
98,,156,121,33
99,,222,166,0
100,,90,81,57
101,,49,40,16
102,,206,190,123
103,,99,89,57
104,,148,134,74
105,,99,89,74
106,,189,166,123
107,,90,65,24
108,,189,142,49
109,,49,48,41
110,,148,134,99
111,,123,105,74
112,,165,142,90
113,,90,73,41
114,,156,121,57
115,,66,48,16
116,,239,174,33
117,,24,16,0
118,,41,32,0
119,,156,105,0
120,,148,134,90
121,,82,65,24
122,,107,89,41
123,,123,97,33
124,,156,121,33
125,,222,166,0
126,,90,81,57
127,,49,40,16
128,,206,190,123
129,,99,89,57
130,,148,134,74
131,,198,166,41
132,,16,158,24
133,,66,142,74
134,,49,142,66
135,,16,150,41
136,,8,24,16
137,,8,24,24
138,,8,40,16
139,,24,65,41
140,,165,182,173
141,,107,113,115
142,,24,40,41
143,,24,65,74
144,,49,65,74
145,,99,199,222
146,,66,223,255
147,,140,215,239
148,,115,105,57
149,,247,223,57
150,,247,239,140
151,,247,231,0
152,,107,105,90
153,,90,142,165
154,,57,182,239
155,,74,158,206
156,,49,134,181
157,,49,81,107
158,,222,223,214
159,,189,190,181
160,,140,142,132
161,,247,247,222
162,,0,8,24
163,,8,24,57
164,,8,16,41
165,,8,24,0
166,,8,40,0
167,,0,81,165
168,,0,121,222
169,,16,40,74
170,,16,56,107
171,,16,81,140
172,,33,89,165
173,,16,48,90
174,,16,65,132
175,,49,81,132
176,,24,32,49
177,,74,89,123
178,,82,105,165
179,,41,56,99
180,,16,73,222
181,,41,40,33
182,,74,73,57
183,,41,40,24
184,,74,73,41
185,,123,121,66
186,,156,158,74
187,,90,89,41
188,,66,65,16
189,,57,56,0
190,,90,89,0
191,,206,52,41
192,,107,113,33
193,,41,48,0
194,,49,56,16
195,,49,56,24
196,,66,73,0
197,,82,97,24
198,,90,113,41
199,,49,73,24
200,,24,32,0
201,,24,48,0
202,,24,56,16
203,,99,134,74
204,,107,190,74
205,,99,182,74
206,,99,190,74
207,,90,158,74
208,,74,142,57
209,,99,199,74
210,,99,215,74
211,,82,134,74
212,,49,113,41
213,,99,199,90
214,,82,190,74
215,,16,255,0
216,,24,40,24
217,,74,138,74
218,,74,231,74
219,,0,89,0
220,,0,138,0
221,,0,150,0
222,,0,223,0
223,,0,239,0
224,,0,251,0
225,,74,89,148
226,,99,113,181
227,,123,142,214
228,,107,121,214
229,,115,138,255
230,,198,199,206
231,,148,150,156
232,,156,150,198
233,,49,48,57
234,,41,24,132
235,,24,0,132
236,,74,65,82
237,,82,65,123
238,,99,89,115
239,,206,182,247
240,,140,121,156
241,,115,32,206
242,,222,170,255
243,,247,182,41
244,,222,0,156
245,,231,20,181
246,,255,251,247
247,,165,162,165
248,,132,130,132
249,,255,0,0
250,,0,255,0
251,,255,255,0
252,,0,0,255
253,,255,0,255
254,,0,255,255
255,,255,255,255
